STATE,STATEICP,STATEFIPS,GISJOIN,COUNTYFIPS,ALLCOUNTIES,RSG_SV1,RSG_LRA1,RSG_SV2,PO_LRA2,GR_SV1,GR_SV2,GR_LRA2,PI_SV1,PI_SV2,PI_LRA3,IP_SV3,OSU_SV1,OSU_LRA1,OSU_SV2,HCA_SV3,HFA_SV2,HFA_LRA2,HFA_SV3,HFA_LRA3,MM_LRA1
Real1,41,1,G0100010,10,DATA1,0,0,0,1,1,0,0,1,1,-999,1,0,1,-999,1,1,1,1,1,1
Real2,41,1,G0100030,30,DATA2,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,1
Real3,41,1,G0100050,50,DATA3,0,0,0,0,1,0,0,1,1,-999,1,0,1,-999,0,1,0,1,1,1
Real4,41,1,G0100070,70,DATA4,0,0,0,1,1,0,0,1,1,-999,1,0,1,-999,-999,1,1,1,0,1
Real5,41,1,G0100090,90,DATA5,0,1,0,0,1,0,0,1,1,-999,1,0,0,-999,-999,1,1,0,1,1
Real6,41,1,G0100110,110,DATA6,0,0,0,0,1,0,0,1,1,-999,-999,1,1,-999,-999,1,1,0,0,1
Real7,41,1,G0100130,130,DATA7,0,0,0,0,1,0,0,1,1,-999,1,0,1,-999,0,1,1,0,0,1
Real8,41,1,G0100150,150,DATA8,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1
Real9,41,1,G0100170,170,DATA9,0,0,0,0,1,0,0,1,1,-999,1,0,1,-999,-999,1,1,1,0,1
Real10,41,1,G0100190,190,DATA10,0,0,0,0,1,0,0,1,1,-999,1,0,0,-999,-999,1,0,0,0,1
Alabama,41,1,G0100210,210,Chilton,0,0,0,0,1,0,0,1,1,1,1,0,1,-999,0,1,0,0,1,1
Alabama,41,1,G0100230,230,Choctaw,0,0,0,0,1,1,1,1,1,-999,-999,1,1,-999,-999,1,1,0,0,1
Alabama,41,1,G0100250,250,Clarke,0,0,0,1,1,1,1,1,1,1,1,1,1,-999,-999,1,0,0,0,1
Alabama,41,1,G0100270,270,Clay,0,0,0,0,1,0,0,1,1,-999,-999,0,1,-999,1,1,1,0,0,1
Alabama,41,1,G0100290,290,Cleburne,0,0,0,0,1,0,0,1,1,-999,-999,0,0,-999,-999,1,1,0,1,1
